batter,matches,innings,total_runs,balls_faced,fours,sixes,dot_balls,ones,twos,threes,strike_rate,batting_average,boundary_pct,dot_ball_pct,fifties,hundreds,highest_score,powerplay_runs,powerplay_balls,powerplay_fours,powerplay_sixes,powerplay_sr,middle_runs,middle_balls,middle_fours,middle_sixes,middle_sr,death_runs,death_balls,death_fours,death_sixes,death_sr
A Ashish Reddy,23,23,280,196,16,15,61,83,20,1,142.86,12.17,15.82,31.12,0,0,36,5.0,7.0,1.0,0.0,71.43,61.0,41.0,2.0,5.0,148.78,214.0,148.0,13.0,10.0,144.59
A Badoni,46,46,963,740,73,38,261,297,67,4,130.14,20.93,15.0,35.27,6,0,74,29.0,50.0,2.0,1.0,58.0,420.0,353.0,31.0,14.0,118.98,514.0,337.0,40.0,23.0,152.52
A Chandila,2,2,4,7,0,0,3,4,0,0,57.14,2.0,0.0,42.86,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,57.14
A Chopra,6,6,53,75,7,0,45,21,2,0,70.67,8.83,9.33,60.0,0,0,24,27.0,41.0,4.0,0.0,65.85,25.0,32.0,3.0,0.0,78.12,1.0,2.0,0.0,0.0,50.0
A Choudhary,3,3,25,20,1,1,4,13,1,0,125.0,8.33,10.0,20.0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,1.0,1.0,125.0
A Dananjaya,1,1,4,5,0,0,2,2,1,0,80.0,4.0,0.0,40.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,80.0
A Flintoff,3,3,62,57,5,2,24,23,2,1,108.77,20.67,12.28,42.11,0,0,24,14.0,15.0,1.0,1.0,93.33,23.0,24.0,2.0,0.0,95.83,25.0,18.0,2.0,1.0,138.89
A Kamboj,6,6,16,15,2,0,7,4,2,0,106.67,2.67,13.33,46.67,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.0,2.0,0.0,106.67
A Kumble,15,15,35,49,3,0,24,21,1,0,71.43,2.33,6.12,48.98,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,20.0,34.0,44.0,3.0,0.0,77.27
A Manohar,20,20,292,243,23,14,99,98,9,0,120.16,14.6,15.23,40.74,0,0,43,12.0,18.0,2.0,0.0,66.67,132.0,126.0,12.0,4.0,104.76,148.0,99.0,9.0,10.0,149.49
A Mhatre,7,7,240,131,31,11,45,38,6,0,183.21,34.29,32.06,34.35,1,0,94,177.0,95.0,27.0,7.0,186.32,60.0,33.0,4.0,4.0,181.82,3.0,3.0,0.0,0.0,100.0
A Mishra,55,55,381,440,31,5,199,183,22,0,86.59,6.93,8.18,45.23,0,0,31,1.0,5.0,0.0,0.0,20.0,120.0,171.0,8.0,0.0,70.18,260.0,264.0,23.0,5.0,98.48
A Mithun,6,6,34,26,4,1,11,8,2,0,130.77,5.67,19.23,42.31,0,0,11,0.0,0.0,0.0,0.0,0.0,15.0,12.0,2.0,0.0,125.0,19.0,14.0,2.0,1.0,135.71
A Mukund,2,2,19,23,1,0,9,11,2,0,82.61,9.5,4.35,39.13,0,0,19,14.0,16.0,1.0,0.0,87.5,5.0,6.0,0.0,0.0,83.33,0.0,1.0,0.0,0.0,0.0
A Nehra,17,17,41,63,3,1,37,21,1,0,65.08,2.41,6.35,58.73,0,0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,63.0,3.0,1.0,65.08
A Nortje,13,13,49,51,6,0,25,17,1,2,96.08,3.77,11.76,49.02,0,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,51.0,6.0,0.0,96.08
A Raghuvanshi,18,18,463,326,46,16,99,149,14,2,142.02,25.72,19.02,30.37,2,0,54,154.0,93.0,19.0,7.0,165.59,251.0,189.0,22.0,7.0,132.8,58.0,44.0,5.0,2.0,131.82
A Singh,5,5,2,10,0,0,8,2,0,0,20.0,0.4,0.0,80.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,25.0
A Symonds,36,36,974,781,74,41,308,288,66,4,124.71,27.06,14.72,39.44,5,1,117,72.0,86.0,12.0,0.0,83.72,609.0,498.0,45.0,24.0,122.29,293.0,197.0,17.0,17.0,148.73
A Tomar,1,1,4,8,1,0,7,0,0,0,50.0,4.0,12.5,87.5,0,0,4,4.0,8.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Uniyal,2,2,4,7,0,0,3,4,0,0,57.14,2.0,0.0,42.86,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,57.14
A Zampa,5,5,15,25,1,0,13,11,0,0,60.0,3.0,4.0,52.0,0,0,7,0.0,0.0,0.0,0.0,0.0,9.0,14.0,1.0,0.0,64.29,6.0,11.0,0.0,0.0,54.55
AA Bilakhia,7,7,69,88,5,0,43,31,9,0,78.41,9.86,5.68,48.86,0,0,22,23.0,33.0,2.0,0.0,69.7,10.0,21.0,0.0,0.0,47.62,36.0,34.0,3.0,0.0,105.88
AA Chavan,3,3,12,11,2,0,5,4,0,0,109.09,4.0,18.18,45.45,0,0,7,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,33.33,11.0,8.0,2.0,0.0,137.5
AA Jhunjhunwala,15,15,217,218,19,5,98,82,13,1,99.54,14.47,11.01,44.95,1,0,53,24.0,36.0,2.0,1.0,66.67,124.0,129.0,9.0,2.0,96.12,69.0,53.0,8.0,2.0,130.19
AA Kulkarni,2,2,9,8,2,0,5,1,0,0,112.5,4.5,25.0,62.5,0,0,9,9.0,8.0,2.0,0.0,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA Noffke,1,1,9,12,1,0,6,5,0,0,75.0,9.0,8.33,50.0,0,0,9,0.0,0.0,0.0,0.0,0.0,9.0,12.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0
